Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,1,2.2,177.77,0,0.17,1.1,1.2,167,40.16,15.7,974
2016,1,1,1,0,0,0,1,2.5,163.98,0,0.17,1.2,1.2,179,43.1,15,974
2016,1,1,2,0,0,0,1,2.8,150.22,0,0.17,1.2,1.2,188,44.81,14.7,974
2016,1,1,3,0,0,0,1,3.1,136.54,0,0.17,1.2,1.2,197,46.2,14.5,974
2016,1,1,4,0,0,0,1,3.3,122.99,0,0.17,1.2,1.2,201,48,14.2,974
2016,1,1,5,0,0,0,1,3.5,109.59,0,0.15,1.4,1.3,103,48.86,14.1,979
2016,1,1,6,0,0,0,1,3.4,96.58,0,0.15,1.4,1.3,105,48.58,14.1,979
2016,1,1,7,0,62,62,1,3.4,83.92,0,0.15,2.2,1.2,108,37.75,18,980
2016,1,1,8,0,260,260,0,3.5,72.22,0,0.15,2.3,1.2,112,30.49,21.6,981
2016,1,1,9,0,454,454,0,3,61.65,0,0.15,1.4,1.3,118,21.53,26.8,981
2016,1,1,10,0,608,608,0,2.6,52.99,0,0.15,0.5,1.3,277,17.38,30,981
2016,1,1,11,0,710,710,0,2.6,47.31,0,0.15,1.2,1.3,297,16.06,31.4,980
2016,1,1,12,0,735,735,0,2.5,45.76,0,0.15,2,1.3,304,15.44,32,978
2016,1,1,13,0,685,685,0,2.5,48.74,0,0.15,2.5,1.4,310,15.4,32,977
2016,1,1,14,0,565,565,0,2.4,55.51,0,0.15,2.8,1.4,317,15.75,31.5,977
2016,1,1,15,0,398,398,0,2.2,64.89,0,0.15,2.7,1.3,326,16.54,30.4,977
2016,1,1,16,0,195,195,0,2.5,75.91,0,0.15,1.5,1.3,338,20.22,27.3,977
2016,1,1,17,0,18,18,0,2.4,87.77,0,0.15,1.3,1.3,360,25.49,23.3,978
2016,1,1,18,0,0,0,0,2.4,100.74,0,0.15,1.3,1.4,22,27.46,22,979
2016,1,1,19,0,0,0,0,2.3,113.87,0,0.15,1.3,1.4,42,29.27,20.9,980
2016,1,1,20,0,0,0,1,2.3,127.28,0,0.15,1.4,1.4,57,30.93,20,980
2016,1,1,21,0,0,0,1,2.3,140.87,0,0.15,1.4,1.4,71,32.94,19,980
2016,1,1,22,0,0,0,1,2.3,154.58,0,0.15,1.5,1.4,82,34.49,18.2,980
2016,1,1,23,0,0,0,1,2.4,168.36,0,0.15,1.5,1.4,89,36.54,17.4,980
2016,1,2,0,0,0,0,1,2.6,177.8,0,0.15,1.5,1.5,92,38.96,16.6,979
2016,1,2,1,0,0,0,1,2.7,164,0,0.15,1.4,1.5,91,41.41,15.8,979
2016,1,2,2,0,0,0,1,2.7,150.24,0,0.15,1.3,1.4,86,42.88,15.3,979
2016,1,2,3,0,0,0,1,2.7,136.56,0,0.15,1.3,1.4,81,44.12,14.8,979
2016,1,2,4,0,0,0,1,2.6,123.01,0,0.15,1.3,1.4,78,44.98,14.4,979
2016,1,2,5,0,0,0,1,2.5,109.68,0,0.16,1.3,1.3,79,45.82,14,980
2016,1,2,6,0,0,0,1,2.4,96.65,0,0.16,1.2,1.3,82,45.71,13.9,980
2016,1,2,7,0,64,64,1,2.3,83.98,0,0.16,1.6,1.3,85,36.53,17.3,981
2016,1,2,8,0,263,263,0,2.3,72.27,0,0.16,1.7,1.3,79,29.23,20.9,982
2016,1,2,9,0,459,459,0,2.2,61.67,0,0.16,1.6,1.3,50,21.74,25.7,982
2016,1,2,10,0,612,612,0,2,52.97,0,0.16,1.7,1.4,14,18.29,28.4,981
2016,1,2,11,0,685,685,0,1.6,47.26,0,0.16,1.8,1.4,355,16.53,29.6,980
2016,1,2,12,0,709,709,0,1.1,45.68,0,0.16,2,1.4,345,15.44,30.2,979
2016,1,2,13,0,660,660,0,0.7,48.62,0,0.16,2.1,1.5,339,14.85,30.4,978
2016,1,2,14,0,544,544,0,0.5,55.38,0,0.16,2.2,1.5,339,14.96,30,977
2016,1,2,15,0,377,377,0,0.4,64.76,0,0.16,2.2,1.5,344,15.63,29.1,977
2016,1,2,16,0,182,182,0,0.8,75.77,0,0.16,1.2,1.4,354,19.47,25.9,977
2016,1,2,17,0,14,14,0,0.7,87.64,0,0.16,1.3,1.4,10,24.11,22.2,978
2016,1,2,18,0,0,0,0,0.6,100.61,0,0.16,1.3,1.4,25,25.95,20.9,979
2016,1,2,19,0,0,0,1,0.6,113.74,0,0.16,1.3,1.4,38,27.66,19.8,980
2016,1,2,20,0,0,0,1,0.5,127.15,0,0.16,1.4,1.4,47,28.98,18.9,980
2016,1,2,21,0,0,0,1,0.3,140.75,0,0.16,1.4,1.4,55,30.24,18,980
2016,1,2,22,0,0,0,1,0.4,154.47,0,0.16,1.5,1.3,61,32.46,17,980
2016,1,2,23,0,0,0,1,0.5,168.25,0,0.16,1.5,1.3,67,34.74,16.1,979
2016,1,3,0,0,0,0,1,0.7,177.91,0,0.16,1.5,1.2,71,36.92,15.3,979
2016,1,3,1,0,0,0,1,0.7,164.11,0,0.16,1.5,1.2,75,38.79,14.6,978
2016,1,3,2,0,0,0,1,0.7,150.34,0,0.16,1.5,1.2,78,40.65,13.9,978
2016,1,3,3,0,0,0,0,0.7,136.65,0,0.16,1.5,1.2,81,41.89,13.4,978
2016,1,3,4,0,0,0,1,0.6,123.1,0,0.16,1.5,1.2,87,42.81,13,978
2016,1,3,5,0,0,0,0,0.6,109.75,0,0.15,1.5,1.1,92,43.4,12.7,978
2016,1,3,6,0,0,0,1,0.5,96.72,0,0.15,1.5,1.1,96,43.19,12.7,979
2016,1,3,7,0,53,53,1,0.4,84.03,0,0.15,2.2,1.1,100,33.9,16.4,980
2016,1,3,8,0,241,241,0,0.5,72.3,0,0.15,2.4,1.1,100,27.16,20,981
2016,1,3,9,0,431,431,0,1.3,61.68,0,0.15,2.3,1.1,80,21.95,24.4,981
2016,1,3,10,0,582,582,0,1.2,52.96,0,0.15,2,1.1,62,18.83,26.9,980
2016,1,3,11,0,706,706,0,0.6,47.21,0,0.15,1.8,1.1,50,16.44,28.5,979
2016,1,3,12,0,732,732,1,0.1,45.58,0,0.15,1.6,1.1,35,14.92,29.5,978
2016,1,3,13,0,685,685,0,-0.2,48.5,0,0.15,1.7,1.1,17,14.33,29.8,977
2016,1,3,14,0,579,579,0,-0.4,55.24,0,0.15,1.9,1.1,5,14.33,29.6,976
2016,1,3,15,0,407,407,0,-0.5,64.62,0,0.15,2.1,1.1,1,15.11,28.6,976
2016,1,3,16,0,202,202,0,0.1,75.63,0,0.15,1.2,1.1,2,18.96,25.4,976
2016,1,3,17,0,20,20,0,-0.1,87.51,0,0.15,1.3,1.1,11,23.75,21.5,977
2016,1,3,18,0,0,0,0,-0.3,100.48,0,0.15,1.4,1.1,24,25.39,20.2,977
2016,1,3,19,0,0,0,1,-0.6,113.61,0,0.15,1.4,1.1,36,26.42,19.2,978
2016,1,3,20,0,0,0,1,-0.8,127.03,0,0.15,1.4,1,47,27.66,18.2,978
2016,1,3,21,0,0,0,1,-0.8,140.63,0,0.15,1.4,1,60,29.18,17.3,978
2016,1,3,22,0,0,0,1,-0.9,154.35,0,0.15,1.4,1,72,30.82,16.4,978
2016,1,3,23,0,0,0,1,-0.9,168.14,0,0.15,1.4,1,79,32.45,15.6,978
2016,1,4,0,0,0,0,1,-0.8,178.03,0,0.15,1.4,1,83,34.23,14.8,978
